Artista,Seguidores,Tipo,Fecha y Hora,KPI,Likes,Comentarios,Caption,Palabras en Caption,Número de hashtags,Hashtags
Uriel Henao,50400,Foto,2024-07-25 07:39:01-05:00,0.0025992063492063493,131,2,"""Y hoy quiero gritar que te amo con locura, que solo tú eres todo en mi vida, que desde que te vi, mi vida ha cambiado tu me enseñaste a amar y ahora vivo enamorado, de ti, mi amor de ti, de ti, solo de ti, porque eres tú a quien yo amo, tu eres todo EL AMOR SOÑADO"".",59,0,[]
Uriel Henao,50400,Video,2024-07-23 21:19:19-05:00,-1.984126984126984e-05,-1,3,"•EXCLUSIVAS• Muy pronto una canción de las consentidas de @urielhenaooficial “CÓMO NOS CAMBIA LA VIDA” a dúo con @sebastiianayalaoficial 

Entrevista Completa en el canal de YouTube/ Grandes Lanzamientos 

@camilomartinez_manager",29,0,[]
Uriel Henao,50400,Video,2024-07-21 19:19:02-05:00,0.0077777777777777776,392,15,"""QUE INSEGURIDAD TAN HP"", Así se titula este corrido prohibido y ya está disponible mi canal oficial de Youtube. Les cuento que escribí este corrido pensando en la inseguridad tan grande que está pasando Colombia, la cual cobra cada día más vidas y afecta emocional, física y materialmente a nuestra sociedad. ¡YO YA FUÍ VÍCTIMA DE ESTA INSEGURIDAD TAN HP!",60,0,[]
Uriel Henao,50400,Video,2024-07-20 21:49:00-05:00,0.0034523809523809524,174,6,"Mis amigos mañana domingo 21 de julio a las 7:00PM esperen el relanzamiento del vídeo oficial del corrido QUE INSEGURIDAD TAN HP. Así que si ustedes también están cansados de esta situación en nuestro país, compartan mañana este video y que se escuchen nuestras voces. YO YA FUÍ VÍCTIMA DE ESTA INSEGURIDAD TAN HP!!!",54,0,[]
Uriel Henao,50400,Foto,2024-07-17 19:11:17-05:00,0.013373015873015873,674,12,"Se vienen sorpresas para ustedes, al lado de  grandes amigos @giovannyayalaoficial y @dariodariooficial .",14,0,[]
Uriel Henao,50400,Foto,2024-07-17 08:49:10-05:00,0.004365079365079365,220,3,"Mis ídolos de la música norteña, para mí siempre es y será un honor cantar con ustedes LUPE Y POLO ¡Los admiro por su estilo tan original! Gracias por representar de la mejor forma  la música norteña a nivel mundial.

Estamos preparando algo para ustedes con mucho cariño, espérenlo muy pronto.",51,0,[]
Uriel Henao,50400,Video,2024-07-15 15:49:24-05:00,0.005198412698412699,262,7,"¡GRACIAS MI GENTE DE LA YE ASTILLEROS!  Cada concierto es una página imborrable en mi mente, quiero agradecer a este público tan lindo del municipio del Zulia, Norte de Santander. Gracias señor alcalde por su gran acogida y a la gente de esta tierra por su gran cariño y admiración. Dios los bendiga.
#urielhenao #elreydeloscorridosprohibidos #elzulia",56,3,"['#urielhenao', '#elreydeloscorridosprohibidos', '#elzulia']"
Uriel Henao,50400,Video,2024-07-14 17:07:25-05:00,0.002996031746031746,151,3,"Algo del @showdelasestrellas transmitido anoche por el  @canalrcn . Aquí les dejo algo del programa grabado desde El Carmen de Apicalá, Tolima.
#urielhenao #elreydeloscorridosprohibidos #carmendeapicala #tolima",26,4,"['#urielhenao', '#elreydeloscorridosprohibidos', '#carmendeapicala', '#tolima']"
Uriel Henao,50400,Video,2024-07-14 14:52:19-05:00,0.0048015873015873015,242,5,"Mis amigos buenas tardes, ya vamos saliendo de Cúcuta, anoche nuestro show fue en La Ye Astilleros en El Zulia, Norte de Santander con un público maravilloso al que le agradezco por su buena energía y por cantar mis canciones. Ya vamos para Bogotá a ver el partido de mi Colombia querida. La mejor energía para nuestra @fcfseleccioncol ¡VAMOS COLOMBIA!

#urielhenao #elreydeloscorridosprohibidos #vamoscolombia🇨🇴🇨🇴🇨🇴",63,3,"['#urielhenao', '#elreydeloscorridosprohibidos', '#vamoscolombia']"
Uriel Henao,50400,Video,2024-07-11 19:37:51-05:00,0.007797619047619048,393,35,"Mis amigos les mando un saludo muy especial, quiero saber de qué parte de Colombia o el mundo me escriben, gracias por su cariño, por sus mensajes y por escuchar mi música.

¡Un abrazo para todos! Dios los bendiga mis amigos.",41,0,[]
Uriel Henao,50400,Video,2024-07-06 08:24:16-05:00,0.004226190476190476,213,4,"LA LEY DE LA VIDA, mi primer éxito grabado en el año 1990, aquí les dejo este video de mi show el martes pasado en Algeciras, Huila. Llevaba 13 años sin ir a esta tierra y todos me recibieron con tanto cariño. ¡Gracias Algeciras, Huila! 3 veces he cantado aquí y todas las veces ha estado lleno total, con la mejor energía y todos cantando mis éxitos. Dios los bendiga.",70,0,[]
Uriel Henao,50400,Video,2024-07-04 07:51:31-05:00,0.007162698412698413,361,11,"Recuerdos del domingo pasado en LA MESA, CUNDINAMARCA, que buen público, que ambiente tan chévere, gracias por su cariño y su buena energía. Gracias por sus aplausos y por cantar mis canciones. 
#urielhenao 
#elreydeloscorridosprohibidos 
#lamesacundinamarca",35,3,"['#urielhenao', '#elreydeloscorridosprohibidos', '#lamesacundinamarca']"
Grupo Dominio,70100,Carrusel,2024-09-15 18:54:50-05:00,-1.4265335235378031e-05,-1,4,"Enciso/Stder ❤️‍🔥🎤
¡GRACIAS! 
Esperamos verlos pronto de nuevo…! 🥃
.
.
#show #enciso #santander #ferias #dominio #norteño #musica #colombia",19,8,"['#show', '#enciso', '#santander', '#ferias', '#dominio', '#norteño', '#musica', '#colombia']"
Grupo Dominio,70100,Video,2024-08-31 09:10:25-05:00,-1.4265335235378031e-05,-1,2,"Le Hago caso al Corazón… 🍺❤️‍🩹
.
.
Tu Grupo Dominio 
#dominio #reels #despecho #popular #norteño #musica",17,6,"['#dominio', '#reels', '#despecho', '#popular', '#norteño', '#musica']"
Grupo Dominio,70100,Carrusel,2024-08-23 14:35:13-05:00,0.003124108416547789,219,0,"Un Increíble Show en “Santa Rosa sur de Bolívar”
GRACIAS ❤️📸
.
. 
#santarosa #show #dominio #fotos #resumen",18,5,"['#santarosa', '#show', '#dominio', '#fotos', '#resumen']"
Grupo Dominio,70100,Carrusel,2024-08-20 15:01:23-05:00,0.00456490727532097,320,1,"GRACIAS “La Uvita Boyacá” 
 Un Público Increíble ❤️‍🔥🤠
.
.
#lauvita #show #resumen #boyaca #dominio #ferias",16,6,"['#lauvita', '#show', '#resumen', '#boyaca', '#dominio', '#ferias']"
Grupo Dominio,70100,Video,2024-08-15 11:35:17-05:00,0.0039372325249643365,276,6,"Algo de lo que vivimos en VÉLEZ ❤️‍🔥📸
.
.
Tu Grupo Dominio 
#reels #velez #ferias #resumen #dominio",18,5,"['#reels', '#velez', '#ferias', '#resumen', '#dominio']"
Grupo Dominio,70100,Carrusel,2024-08-12 19:06:17-05:00,0.009514978601997147,667,3,"Que Noche … Vélez Santander ❤️‍🔥🤠
¡GRACIAS! 
.
.
#velez #show #dominio #ferias #santander #fotos",15,6,"['#velez', '#show', '#dominio', '#ferias', '#santander', '#fotos']"
Grupo Dominio,70100,Video,2024-08-02 15:57:53-05:00,0.005178316690442226,363,8,"Voy por la calle, cantando mis canciones… 🍺❤️‍🔥
.
Al estilo de tu Grupo Dominio 
.
#tenampa #norteño #dominio #grupo #santander #piedecuesta #show",23,7,"['#tenampa', '#norteño', '#dominio', '#grupo', '#santander', '#piedecuesta', '#show']"
Grupo Dominio,70100,Carrusel,2024-07-30 20:01:41-05:00,0.0053922967189728955,378,0,"¡GRACIAS PIEDECUESTA! 
Nada como estar en casa 🎤🤠
.
.
#show #piedecuesta #dominio #viral #norteño",15,5,"['#show', '#piedecuesta', '#dominio', '#viral', '#norteño']"
Grupo Dominio,70100,Video,2024-07-18 14:44:42-05:00,-1.4265335235378031e-05,-1,2,"Hoy Jueves de  #TBT ❤️‍🔥🤠 
Detrás de Cámaras de PA’ LA CANTINA 
.
Queremos Recordar esta bonita grabación 🎬🎥
.
#grabacion #tbt #palacantina #dominio #popular #norteña #musica #video #viral",29,10,"['#TBT', '#grabacion', '#tbt', '#palacantina', '#dominio', '#popular', '#norteña', '#musica', '#video', '#viral']"
Grupo Dominio,70100,Carrusel,2024-07-16 15:25:25-05:00,-1.4265335235378031e-05,-1,1,"CHISCAS - BOYACÁ ❤️‍🔥🫶🏻
Esperamos vernos Pronto 
.
.
#show #chiscasboyacá #ferias #dominio #norteño",14,5,"['#show', '#chiscasboyacá', '#ferias', '#dominio', '#norteño']"
Grupo Dominio,70100,Carrusel,2024-07-10 14:45:20-05:00,0.004079885877318117,286,1,"GRACIAS CHIQUIZA ❤️‍🔥🎤 
.
¡Esperamos vernos Pronto! 
.
#dominio #show #boyaca #chíquiza #norteña",13,5,"['#dominio', '#show', '#boyaca', '#chíquiza', '#norteña']"
Grupo Dominio,70100,Video,2024-07-08 17:08:10-05:00,0.007532097004279601,528,8,"Ya no estarás entre mis prioridades… 🎤❤️‍🔥
.
Que lindo cantan con Tu Grupo Dominio 
.
#viral #paquesetequite #dominio #show #reels",21,5,"['#viral', '#paquesetequite', '#dominio', '#show', '#reels']"
Grupo Dominio,70100,Carrusel,2024-07-06 12:48:31-05:00,0.007303851640513552,512,6,"Algunos Recuerdos de Nuestro Show en PUENTE NACIONAL ❤️‍🔥🤠 
.
¡GRACIAS! 

.
#show #tendencia #puentenacional #dominio #norteño",17,5,"['#show', '#tendencia', '#puentenacional', '#dominio', '#norteño']"
Grupo Dominio,70100,Video,2024-06-30 13:15:53-05:00,0.00651925820256776,457,7,"Toda la Soltería de Puente Nacional ❤️‍🔥🤠
¡GRACIAS! Que bien la pasamos.
.
#viral #puentenacional #dominio #musica #norteño #show",19,6,"['#viral', '#puentenacional', '#dominio', '#musica', '#norteño', '#show']"
Grupo Dominio,70100,Carrusel,2024-06-20 16:43:42-05:00,0.005007132667617689,351,6,"¡GRACIAS! Bucaramanga 🔥🤠

Una noche Espectacular con todos ustedes 🎤🫶🏻
.
.
#viral #bucaramanga #show #dominio #tendencia #norteño",18,6,"['#viral', '#bucaramanga', '#show', '#dominio', '#tendencia', '#norteño']"
Grupo Dominio,70100,Carrusel,2024-05-29 01:46:07-05:00,0.005278174037089872,370,5,"Un gran Show en Socorro/Stander 🤠❤️‍🔥
GRACIAS Mi Gente 
.
#socorro #dominio #show #tendencia #norteño #musica #ferias",17,7,"['#socorro', '#dominio', '#show', '#tendencia', '#norteño', '#musica', '#ferias']"
Grupo Dominio,70100,Video,2024-05-22 20:06:08-05:00,0.006975748930099858,489,9,"Y tu que harías si tuvieras mucho Dinero 💸 ? Escuchar al grupo Dominio y…?
. 
#humor #viral #tendencia #dominio #dinero #entretenimiento #urielhenao #corridos",24,8,"['#humor', '#viral', '#tendencia', '#dominio', '#dinero', '#entretenimiento', '#urielhenao', '#corridos']"
Grupo Dominio,70100,Video,2024-05-17 11:18:47-05:00,0.007360912981455065,516,17,"Nos dijo que la tocaramos... ⚽️ y le tocamos la canción más dolorosa de nuestro repertorio ❤️‍🔥🤠
SENTIMIENTOS DE CARTON.
.
. 
#humor #reels #dominio #viral #tiktok #entretenimiento #norteño #musica #despecho",31,9,"['#humor', '#reels', '#dominio', '#viral', '#tiktok', '#entretenimiento', '#norteño', '#musica', '#despecho']"
Los 5 del Norte,16000,Video,2024-09-15 10:29:27-05:00,0.0060625,97,0,ESTE SABADO 30 DE NOVIEMBRE SE VIENE EL FESTIVAL DEL TAMAL Y LA LECHONA CON LA PARTICIPACION DE @juancarloszarabanda_ @los5delnorte @lamonaorquesta 🇨🇴 @santosyesidoficial y @labenditabanda 🇨🇴🇲🇽 animado por @dj.yogui.eventos.2 en #bosatama limite entre Soacha y Bosa! info al interno !  No se lo pueden perder !,46,1,['#bosatama']
